domain,status,registry_absent,registered,score,source,checked_at,http_status,elapsed_ms,error
briovpn.com,registry-absent,True,False,79.0,focused-curated,2026-08-30T20:38:25.347005+00:00,404,216,
mistvpn.com,registry-absent,True,False,79.0,focused-curated,2026-08-30T20:38:26.345568+00:00,404,217,
safehopvpn.com,registry-absent,True,False,75.25,focused-curated,2026-08-30T20:38:30.291413+00:00,404,285,
zenpathvpn.com,registry-absent,True,False,75.25,focused-curated,2026-08-30T20:38:30.429629+00:00,404,300,
brioproxy.com,registry-absent,True,False,74.5,focused-curated,2026-08-30T20:38:30.887331+00:00,404,256,
naviproxy.com,registry-absent,True,False,74.5,focused-curated,2026-08-30T20:38:31.937110+00:00,404,308,
arcguardvpn.com,registry-absent,True,False,74.0,focused-curated,2026-08-30T20:38:32.839968+00:00,404,339,
fastlanevpn.com,registry-absent,True,False,74.0,focused-curated,2026-08-30T20:38:32.912308+00:00,404,284,
breezyvpn.com,registry-absent,True,False,73.5,focused-curated,2026-08-30T20:38:33.049161+00:00,404,296,
blinkproxy.com,registry-absent,True,False,73.25,focused-curated,2026-08-30T20:38:33.095970+00:00,404,218,
glideproxy.com,registry-absent,True,False,73.25,focused-curated,2026-08-30T20:38:33.720200+00:00,404,217,
quietproxy.com,registry-absent,True,False,73.25,focused-curated,2026-08-30T20:38:34.037110+00:00,404,283,
proxyveil.com,registry-absent,True,False,71.5,focused-curated,2026-08-30T20:38:34.624905+00:00,404,244,
vpnlane.com,registry-absent,True,False,71.0,focused-curated,2026-08-30T20:38:35.670574+00:00,404,289,
vpnluma.com,registry-absent,True,False,71.0,focused-curated,2026-08-30T20:38:35.846044+00:00,404,218,
vpntide.com,registry-absent,True,False,71.0,focused-curated,2026-08-30T20:38:36.221573+00:00,404,215,
vpnwing.com,registry-absent,True,False,71.0,focused-curated,2026-08-30T20:38:36.510695+00:00,404,256,
vpnglide.com,registry-absent,True,False,69.75,focused-curated,2026-08-30T20:38:37.561331+00:00,404,305,
boltguardvpn.com,registry-absent,True,False,68.75,focused-curated,2026-08-30T20:38:39.475091+00:00,404,222,
clearpathvpn.com,registry-absent,True,False,68.75,focused-curated,2026-08-30T20:38:39.655794+00:00,404,277,
