domain,status,available,registered,shortlist_rank,score,source,brand_note,checked_at,remaining_requests,http_status,error
airveil.com,registered,False,True,,47.5,curated,,2026-08-30T20:12:21.954359+00:00,,200,
arcveil.com,registered,False,True,,47.5,curated,,2026-08-30T20:12:23.250090+00:00,,200,
zenveil.com,unchecked-account-cap,,,,47.5,curated,,2026-08-30T20:12:27.738668+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
aeroveil.com,registered,False,True,,46.15,curated,,2026-08-30T20:12:21.252227+00:00,,200,
aircloak.com,registered,False,True,,46.15,curated,,2026-08-30T20:12:22.334225+00:00,,200,
airvault.com,registered,False,True,,46.15,curated,,2026-08-30T20:12:22.284948+00:00,,200,
arcroute.com,registered,False,True,,46.15,curated,,2026-08-30T20:12:22.786463+00:00,,200,
arcvault.com,registered,False,True,,46.15,curated,,2026-08-30T20:12:22.217579+00:00,,200,
auraveil.com,registered,False,True,,46.15,curated,,2026-08-30T20:12:24.486143+00:00,,200,
everveil.com,registered,False,True,,46.15,curated,,2026-08-30T20:17:58.972697+00:00,23,200,
fluxveil.com,registered,False,True,,46.15,curated,,2026-08-30T20:18:33.064941+00:00,14,200,
haloveil.com,registered,False,True,,46.15,curated,,2026-08-30T20:19:22.687880+00:00,1,200,
hushveil.com,unchecked-account-cap,,,,46.15,curated,,2026-08-30T20:12:25.905774+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
lumaveil.com,unchecked-account-cap,,,,46.15,curated,,2026-08-30T20:12:26.142433+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
mistveil.com,unchecked-account-cap,,,,46.15,curated,,2026-08-30T20:12:26.453318+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
novaveil.com,unchecked-account-cap,,,,46.15,curated,,2026-08-30T20:12:26.569903+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
roamveil.com,unchecked-account-cap,,,,46.15,curated,,2026-08-30T20:12:27.098487+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
trueveil.com,unchecked-account-cap,,,,46.15,curated,,2026-08-30T20:12:27.495947+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
veilpath.com,unchecked-account-cap,,,,46.15,curated,,2026-08-30T20:12:28.257926+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
veloveil.com,unchecked-account-cap,,,,46.15,curated,,2026-08-30T20:12:27.612637+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
zencloak.com,unchecked-account-cap,,,,46.15,curated,,2026-08-30T20:12:27.907434+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
zenrelay.com,unchecked-account-cap,,,,46.15,curated,,2026-08-30T20:12:27.911220+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
zenroute.com,unchecked-account-cap,,,,46.15,curated,,2026-08-30T20:12:27.909736+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
zenvault.com,unchecked-account-cap,,,,46.15,curated,,2026-08-30T20:12:27.740447+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
aerocloak.com,registered,False,True,,44.8,curated,,2026-08-30T20:12:21.634787+00:00,,200,
aerovault.com,registered,False,True,,44.8,curated,,2026-08-30T20:12:21.635080+00:00,,200,
auracloak.com,registered,False,True,,44.8,curated,,2026-08-30T20:12:23.087427+00:00,,200,
auraroute.com,registered,False,True,,44.8,curated,,2026-08-30T20:12:23.611515+00:00,,200,
auravault.com,registered,False,True,,44.8,curated,,2026-08-30T20:12:23.180026+00:00,,200,
blinkveil.com,available,True,False,1,44.8,curated,"Best overall: quick, memorable, and naturally communicates speed plus privacy.",2026-08-30T20:14:35.724835+00:00,77,200,
clearveil.com,registered,False,True,,44.8,curated,,2026-08-30T20:15:59.021199+00:00,55,200,
cloudveil.com,registered,False,True,,44.8,curated,,2026-08-30T20:16:28.183018+00:00,47,200,
driftveil.com,registered,False,True,,44.8,curated,,2026-08-30T20:17:03.688440+00:00,38,200,
emberveil.com,registered,False,True,,44.8,curated,,2026-08-30T20:17:32.922152+00:00,30,200,
evercloak.com,registered,False,True,,44.8,curated,,2026-08-30T20:18:17.853223+00:00,18,200,
evervault.com,registered,False,True,,44.8,curated,,2026-08-30T20:18:06.952805+00:00,21,200,
fluxcloak.com,registered,False,True,,44.8,curated,,2026-08-30T20:18:41.000922+00:00,12,200,
fluxrelay.com,registered,False,True,,44.8,curated,,2026-08-30T20:18:44.471622+00:00,11,200,
fluxroute.com,registered,False,True,,44.8,curated,,2026-08-30T20:18:48.317564+00:00,10,200,
fluxvault.com,registered,False,True,,44.8,curated,,2026-08-30T20:18:37.426482+00:00,13,200,
glideveil.com,registered,False,True,,44.8,curated,,2026-08-30T20:19:09.541240+00:00,4,200,
halocloak.com,unchecked-account-cap,,,,44.8,curated,,2026-08-30T20:12:25.706485+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
halorelay.com,unchecked-account-cap,,,,44.8,curated,,2026-08-30T20:12:25.803175+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
haloroute.com,unchecked-account-cap,,,,44.8,curated,,2026-08-30T20:12:25.802991+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
halovault.com,unchecked-account-cap,,,,44.8,curated,,2026-08-30T20:12:25.627104+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
hushcloak.com,unchecked-account-cap,,,,44.8,curated,,2026-08-30T20:12:25.920606+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
hushrelay.com,unchecked-account-cap,,,,44.8,curated,,2026-08-30T20:12:25.916221+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
hushroute.com,unchecked-account-cap,,,,44.8,curated,,2026-08-30T20:12:25.923256+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
hushvault.com,unchecked-account-cap,,,,44.8,curated,,2026-08-30T20:12:25.921745+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
ivoryveil.com,unchecked-account-cap,,,,44.8,curated,,2026-08-30T20:12:26.032631+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
lumacloak.com,unchecked-account-cap,,,,44.8,curated,,2026-08-30T20:12:26.335558+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
lumarelay.com,unchecked-account-cap,,,,44.8,curated,,2026-08-30T20:12:26.343031+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
lumavault.com,unchecked-account-cap,,,,44.8,curated,,2026-08-30T20:12:26.150062+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
lunaroute.com,unchecked-account-cap,,,,44.8,curated,,2026-08-30T20:12:26.335040+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
mistcloak.com,unchecked-account-cap,,,,44.8,curated,,2026-08-30T20:12:26.448860+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
